Program,Heap_Used_Bytes,Available_Memory_Bytes,Total_Memory_Bytes,Memory_Utilization_Percent,Timestamp_Cycles
gcbench.ke,139264,66842624,67166208,0.21,12573880987
gcbench.ke,815104,66166784,67166208,1.21,12583287105
gcbench.ke,1490944,65490944,67166208,2.22,12592804439
gcbench.ke,2166784,64811008,67166208,3.23,12601549767
gcbench.ke,2842624,64135168,67166208,4.23,12610351028
gcbench.ke,3518464,63459328,67166208,5.24,12619089202
gcbench.ke,4194304,62783488,67166208,6.24,12628047361
gcbench.ke,4870144,62103552,67166208,7.25,12636685397
gcbench.ke,5545984,61427712,67166208,8.26,12645356109
gcbench.ke,6221824,60751872,67166208,9.26,12654134465
gcbench.ke,6897664,60071936,67166208,10.27,12663379942
gcbench.ke,7573504,59396096,67166208,11.28,12672692041
gcbench.ke,8249344,58720256,67166208,12.28,12681513915
gcbench.ke,8925184,58040320,67166208,13.29,12690306341
gcbench.ke,9601024,57364480,67166208,14.29,12698918151
gcbench.ke,10276864,56688640,67166208,15.30,12707688827
gcbench.ke,10276864,56688640,67166208,15.30,12707724548
gcbench.ke,10952704,56008704,67166208,16.31,12716738476
gcbench.ke,11628544,55332864,67166208,17.31,12725331756
gcbench.ke,12304384,54657024,67166208,18.32,12733980045
gcbench.ke,12980224,53977088,67166208,19.33,12742731456
gcbench.ke,13656064,53301248,67166208,20.33,12751466205
gcbench.ke,14331904,52625408,67166208,21.34,12760413604
gcbench.ke,15007744,51945472,67166208,22.34,12769070221
gcbench.ke,15683584,51269632,67166208,23.35,12777613448
gcbench.ke,16359424,50593792,67166208,24.36,12786320352
