Program,Heap_Used_Bytes,Available_Memory_Bytes,Total_Memory_Bytes,Memory_Utilization_Percent,Timestamp_Cycles
malloc-large.ke,139264,536604672,536928256,0.03,35121168857
malloc-large.ke,446464,536289280,536928256,0.08,35121234117
malloc-large.ke,618496,536117248,536928256,0.12,35121240825
malloc-large.ke,446464,536289280,536928256,0.08,35121249709
malloc-large.ke,802816,535932928,536928256,0.15,35121256401
malloc-large.ke,1253376,535482368,536928256,0.23,35121264707
malloc-large.ke,1683456,535052288,536928256,0.31,35121272366
malloc-large.ke,1818624,534917120,536928256,0.34,35121276547
malloc-large.ke,2203648,534532096,536928256,0.41,35121283535
malloc-large.ke,2682880,534048768,536928256,0.50,35121292493
malloc-large.ke,2883584,533848064,536928256,0.54,35121298324
malloc-large.ke,3280896,533450752,536928256,0.61,35121307047
malloc-large.ke,3743744,532987904,536928256,0.70,35121316690
malloc-large.ke,30638080,506040320,536928256,5.71,35121681581
malloc-large.ke,30240768,506437632,536928256,5.63,35121685249
malloc-large.ke,30699520,505978880,536928256,5.72,35121832118
malloc-large.ke,30834688,505843712,536928256,5.74,35121837882
malloc-large.ke,31035392,505643008,536928256,5.78,35121844403
malloc-large.ke,31395840,505282560,536928256,5.85,35121873712
malloc-large.ke,31260672,505417728,536928256,5.82,35121875986
malloc-large.ke,31502336,505171968,536928256,5.87,35121900316
malloc-large.ke,72302592,464293888,536928256,13.47,35122481590
malloc-large.ke,71843840,464752640,536928256,13.38,35122487068
malloc-large.ke,72192000,464404480,536928256,13.45,35122518088
malloc-large.ke,72413184,464183296,536928256,13.49,35122570173
malloc-large.ke,72056832,464539648,536928256,13.42,35122572645
malloc-large.ke,72224768,464371712,536928256,13.45,35122576925
malloc-large.ke,72634368,463962112,536928256,13.53,35122632234
malloc-large.ke,72224768,464371712,536928256,13.45,35122634953
malloc-large.ke,72720384,463876096,536928256,13.54,35122687997
malloc-large.ke,72269824,464326656,536928256,0.00,35122691287
malloc-large.ke,72470528,464125952,536928256,13.50,35123681952
malloc-large.ke,72335360,464261120,536928256,13.47,35123683733
malloc-large.ke,72605696,463990784,536928256,13.52,35123688976
malloc-large.ke,72142848,464453632,536928256,13.44,35123691001
malloc-large.ke,72585216,464011264,536928256,13.52,35123700466
malloc-large.ke,72904704,463691776,536928256,13.58,35123756004
malloc-large.ke,72704000,463892480,536928256,13.54,35123758129
malloc-large.ke,73007104,463585280,536928256,13.60,35123815279
malloc-large.ke,32206848,504385536,536928256,6.00,35123901338
malloc-large.ke,32501760,504090624,536928256,6.05,35123928162
malloc-large.ke,5607424,530984960,536928256,1.04,35123980573
malloc-large.ke,5808128,530784256,536928256,1.08,35123985980
malloc-large.ke,5537792,531054592,536928256,1.03,35123989147
malloc-large.ke,5840896,530751488,536928256,1.09,35123999779
malloc-large.ke,5521408,531070976,536928256,1.03,35124002863
malloc-large.ke,5709824,530882560,536928256,0.00,35124009367
malloc-large.ke,6189056,530403328,536928256,1.15,35124392155
malloc-large.ke,5709824,530882560,536928256,1.06,35124394508
malloc-large.ke,6152192,530440192,536928256,1.15,35124404809
malloc-large.ke,5951488,530640896,536928256,1.11,35124406607
malloc-large.ke,6344704,530247680,536928256,1.18,35124416270
malloc-large.ke,5959680,530632704,536928256,1.11,35124419134
malloc-large.ke,6397952,530194432,536928256,1.19,35124428392
malloc-large.ke,6103040,530489344,536928256,1.14,35124430583
malloc-large.ke,6311936,530280448,536928256,1.18,35124437674
malloc-large.ke,6103040,530489344,536928256,1.14,35124439621
malloc-large.ke,6430720,530161664,536928256,1.20,35124449060
malloc-large.ke,6189056,530403328,536928256,1.15,35124451408
malloc-large.ke,6586368,530006016,536928256,1.23,35124462519
malloc-large.ke,6225920,530366464,536928256,1.16,35124464762
malloc-large.ke,6696960,529895424,536928256,1.25,35124477266
malloc-large.ke,6258688,530333696,536928256,0.00,35124479748
malloc-large.ke,6512640,530079744,536928256,1.21,35124628054
malloc-large.ke,6119424,530472960,536928256,1.14,35124631109
malloc-large.ke,6385664,530206720,536928256,1.19,35124637812
malloc-large.ke,6078464,530513920,536928256,1.13,35124640461
malloc-large.ke,6467584,530124800,536928256,1.20,35124650426
malloc-large.ke,6279168,530313216,536928256,1.17,35124652271
malloc-large.ke,6463488,530128896,536928256,1.20,35124656539
malloc-large.ke,6242304,530350080,536928256,1.16,35124658917
malloc-large.ke,6664192,529928192,536928256,1.24,35124675377
malloc-large.ke,6463488,530128896,536928256,1.20,35124678288
malloc-large.ke,6684672,529907712,536928256,1.24,35124685508
malloc-large.ke,6287360,530305024,536928256,1.17,35124687813
malloc-large.ke,6471680,530120704,536928256,1.21,35124692505
malloc-large.ke,6123520,530468864,536928256,1.14,35124694658
malloc-large.ke,6549504,530042880,536928256,1.22,35124707691
malloc-large.ke,6365184,530227200,536928256,0.00,35124709706
malloc-large.ke,6533120,530059264,536928256,1.22,35124888961
malloc-large.ke,6230016,530362368,536928256,1.16,35124891580
malloc-large.ke,6422528,530169856,536928256,1.20,35124898579
malloc-large.ke,6238208,530354176,536928256,1.16,35124900555
malloc-large.ke,6643712,529948672,536928256,1.24,35124910968
malloc-large.ke,6475776,530116608,536928256,1.21,35124912819
malloc-large.ke,6742016,529850368,536928256,1.26,35124917581
malloc-large.ke,6336512,530255872,536928256,1.18,35124919801
malloc-large.ke,6578176,530014208,536928256,1.23,35124925090
malloc-large.ke,7077888,529514496,536928256,1.32,35124937200
malloc-large.ke,6606848,529985536,536928256,1.23,35124939586
malloc-large.ke,6774784,529817600,536928256,1.26,35124945378
malloc-large.ke,6606848,529985536,536928256,1.23,35124946881
malloc-large.ke,6938624,529653760,536928256,1.29,35124955293
malloc-large.ke,6770688,529821696,536928256,1.26,35124956843
malloc-large.ke,6922240,529670144,536928256,0.00,35124960027
malloc-large.ke,6619136,529973248,536928256,1.23,35125030213
malloc-large.ke,49745920,486846464,536928256,9.26,35125658655
malloc-large.ke,49250304,487342080,536928256,9.17,35125661379
malloc-large.ke,49729536,486862848,536928256,9.26,35125708392
malloc-large.ke,49463296,487129088,536928256,9.21,35125712151
malloc-large.ke,49635328,486957056,536928256,9.24,35125719260
malloc-large.ke,49192960,487399424,536928256,9.16,35125723199
malloc-large.ke,49696768,486895616,536928256,9.26,35125741346
malloc-large.ke,49364992,487227392,536928256,9.19,35125744578
malloc-large.ke,49680384,486912000,536928256,9.25,35125751526
malloc-large.ke,49426432,487165952,536928256,9.21,35125753211
malloc-large.ke,49848320,486744064,536928256,9.28,35125763274
malloc-large.ke,49520640,487071744,536928256,9.22,35125765098
malloc-large.ke,49741824,486850560,536928256,9.26,35125770090
malloc-large.ke,49311744,487280640,536928256,9.18,35125772255
malloc-large.ke,49528832,487063552,536928256,9.22,35126553304
malloc-large.ke,6402048,530190336,536928256,1.19,35126649203
malloc-large.ke,6873088,529719296,536928256,1.28,35126665193
malloc-large.ke,6631424,529960960,536928256,1.24,35126667625
malloc-large.ke,6983680,529608704,536928256,1.30,35126675929
malloc-large.ke,6512640,530079744,536928256,1.21,35126678953
malloc-large.ke,7016448,529575936,536928256,1.31,35126695258
malloc-large.ke,6795264,529797120,536928256,1.27,35126697531
malloc-large.ke,6963200,529629184,536928256,1.30,35126703660
malloc-large.ke,6520832,530071552,536928256,1.21,35126707238
malloc-large.ke,6705152,529887232,536928256,1.25,35126719267
malloc-large.ke,6225920,530366464,536928256,1.16,35126725131
malloc-large.ke,6545408,530046976,536928256,1.22,35126737288
malloc-large.ke,6156288,530436096,536928256,1.15,35126740374
malloc-large.ke,6475776,530116608,536928256,1.21,35126751413
malloc-large.ke,6324224,530268160,536928256,1.18,35126753960
malloc-large.ke,6643712,529948672,536928256,1.24,35127028321
malloc-large.ke,6475776,530116608,536928256,1.21,35127030585
malloc-large.ke,6672384,529920000,536928256,1.24,35127035234
malloc-large.ke,6406144,530186240,536928256,1.19,35127038756
malloc-large.ke,6787072,529805312,536928256,1.26,35127051296
malloc-large.ke,6569984,530022400,536928256,1.22,35127055757
malloc-large.ke,6778880,529813504,536928256,1.26,35127065054
malloc-large.ke,6569984,530022400,536928256,1.22,35127068016
malloc-large.ke,6914048,529678336,536928256,1.29,35127082325
malloc-large.ke,6410240,530182144,536928256,1.19,35127086314
malloc-large.ke,6676480,529915904,536928256,1.24,35127092488
malloc-large.ke,6361088,530231296,536928256,1.18,35127094928
malloc-large.ke,6819840,529772544,536928256,1.27,35127102722
malloc-large.ke,6619136,529973248,536928256,1.23,35127104720
malloc-large.ke,6815744,529776640,536928256,1.27,35127110135
malloc-large.ke,6336512,530255872,536928256,1.18,35127112171
malloc-large.ke,6832128,529760256,536928256,1.27,35127247465
malloc-large.ke,6512640,530079744,536928256,1.21,35127252028
malloc-large.ke,7000064,529592320,536928256,1.30,35127267173
malloc-large.ke,6578176,530014208,536928256,1.23,35127269195
malloc-large.ke,7073792,529518592,536928256,1.32,35127279876
malloc-large.ke,6615040,529977344,536928256,1.23,35127281978
malloc-large.ke,7049216,529543168,536928256,1.31,35127289608
malloc-large.ke,6729728,529862656,536928256,1.25,35127291422
malloc-large.ke,7221248,529371136,536928256,1.34,35127300323
malloc-large.ke,6799360,529793024,536928256,1.27,35127302250
malloc-large.ke,7307264,529285120,536928256,1.36,35127313125
malloc-large.ke,7110656,529481728,536928256,1.32,35127314725
malloc-large.ke,7602176,528990208,536928256,1.42,35127327949
malloc-large.ke,7430144,529162240,536928256,1.38,35127329630
